Cr,1/T,ln(t),DO,weightgain
10.38,0.00129341,4.605170186,8000,-1
10.38,0.00129341,5.521460918,8000,1
10.38,0.00129341,6.214608098,8000,1
10.38,0.00129341,6.907755279,8000,1
11.022,0.001083248,5.298317367,0,1
11.022,0.001083248,5.991464547,0,1
11.022,0.001083248,6.684611728,0,1
11.022,0.001083248,6.396929655,0,1
11.022,0.001083248,6.907755279,0,1
11.16,0.00129341,4.605170186,8000,-1
11.16,0.00129341,5.521460918,8000,1
11.16,0.00129341,6.214608098,8000,1
11.16,0.00129341,6.907755279,8000,1
11.43,0.00129341,4.605170186,8000,-1
11.43,0.00129341,5.521460918,8000,1
11.43,0.00129341,6.214608098,8000,1
11.43,0.00129341,6.907755279,8000,1
11.81,0.00129341,4.605170186,8000,-1
11.81,0.00129341,5.521460918,8000,1
11.81,0.00129341,6.214608098,8000,1
11.81,0.00129341,6.907755279,8000,1
12.951,0.001214845,5.298317367,200,1
12.951,0.001214845,5.991464547,200,1
12.951,0.001214845,6.396929655,200,1
12.951,0.001214845,6.684611728,200,1
12.951,0.001214845,6.907755279,200,1
14.11,0.00129341,4.605170186,8000,-1
14.11,0.00129341,5.521460918,8000,1
14.11,0.00129341,6.214608098,8000,1
14.11,0.00129341,6.907755279,8000,1
16.73,0.00129341,5.298317367,0,-1
16.73,0.00129341,5.991464547,0,-1
16.73,0.00129341,6.396929655,0,-1
16.73,0.00129341,6.684611728,0,-1
16.73,0.00129341,6.907755279,0,-1
17.0882,0.001214845,4.700480366,0,-1
17.0882,0.001214845,5.298317367,100,-1
17.0882,0.001214845,6.131226489,0,-1
17.0882,0.001214845,6.396929655,0,-1
17.0882,0.001214845,5.298317367,300,-1
17.0882,0.001214845,5.991464547,100,-1
17.0882,0.001214845,6.65929392,0,-1
17.0882,0.001214845,5.991464547,300,-1
17.0882,0.001214845,6.907755279,0,-1
17.0882,0.001214845,6.396929655,100,1
17.0882,0.001214845,5.298317367,2000,1
17.0882,0.001214845,6.684611728,100,1
17.0882,0.001214845,6.907755279,100,1
17.0882,0.001214845,6.396929655,300,1
17.0882,0.001214845,5.991464547,2000,1
17.269,0.00129341,5.298317367,8,-1
17.269,0.00129341,5.598421959,8,-1
17.269,0.00129341,6.214608098,8,-1
17.269,0.00129341,5.940171253,8,-1
17.269,0.001214845,6.214608098,8,1
17.269,0.001214845,4.605170186,8,1
18.0596,0.00129341,6.907755279,10,-1
18.0596,0.00129341,7.170119543,10,-1
18.0596,0.00129341,7.60090246,10,1
18.0596,0.001145279,5.768320996,25,1
18.0596,0.001145279,6.445719819,25,1
18.0596,0.001145279,6.907755279,25,1
18.2693,0.001485553,5.541263545,8,-1
18.2693,0.001485553,3.688879454,8,-1
18.2693,0.001485553,6.214608098,8,-1
18.2693,0.001485553,6.363028104,8,-1
18.2693,0.00129341,6.214608098,8,-1
17.269,0.001214845,5.298317367,8,1
17.269,0.001214845,5.736572297,8,1
17.269,0.001214845,5.991464547,8,1
18.0596,0.00129341,5.857933154,10,-1
18.0596,0.00129341,3.401197382,25,-1
18.0596,0.00129341,6.522092798,10,-1
18.0596,0.00129341,5.768320996,25,-1
18.0596,0.00129341,6.445719819,25,-1
